		n								solidezI								                   solidezII								solidezIII
-----------------------------------------------------------------------------------------------------------
  100            0.00044536590576171875            2.8848648071289062e-05               2.6702880859375e-05
  200             0.0020227432250976562             5.888938903808594e-05              5.53131103515625e-05
  300              0.004375457763671875             9.894371032714844e-05             7.915496826171875e-05
  400              0.011373519897460938             0.0003368854522705078               0.00023651123046875
  500              0.012350797653198242            0.00014781951904296875             0.0001385211944580078
  600              0.021355867385864258            0.00023555755615234375            0.00036787986755371094
  700              0.027039527893066406            0.00042510032653808594             0.0003154277801513672
  800               0.03645682334899902             0.0002732276916503906            0.00022864341735839844
  900              0.043477535247802734                0.0003509521484375            0.00028514862060546875
 1000              0.052890777587890625            0.00029778480529785156            0.00028705596923828125
 1100               0.06365656852722168            0.00032901763916015625             0.0003161430358886719
 1200               0.07404947280883789             0.0003554821014404297             0.0003457069396972656
 1300               0.08916187286376953              0.000392913818359375             0.0003781318664550781
 1400               0.10456418991088867             0.0005009174346923828            0.00040602684020996094
 1500               0.11710548400878906             0.0007581710815429688             0.0004563331604003906
 1600               0.13482093811035156            0.00048613548278808594            0.00046825408935546875
 1700               0.14955425262451172             0.0005135536193847656             0.0005249977111816406
 1800               0.16902732849121094             0.0006880760192871094             0.0005953311920166016
 1900               0.18363428115844727             0.0006051063537597656             0.0005557537078857422
 2000               0.20078563690185547             0.0006041526794433594             0.0005848407745361328
 2100                0.2293412685394287             0.0006289482116699219             0.0006139278411865234
 2200               0.24480175971984863             0.0006668567657470703             0.0006442070007324219
 2300               0.26329898834228516             0.0007760524749755859             0.0006949901580810547
 2400                 0.284757137298584             0.0007202625274658203             0.0007128715515136719
 2500               0.31150007247924805              0.000751495361328125             0.0007345676422119141
 2600                0.3361330032348633             0.0007762908935546875             0.0008165836334228516
 2700               0.38875699043273926              0.000827789306640625             0.0009000301361083984
 2800               0.43130993843078613             0.0008966922760009766             0.0009238719940185547
 2900                0.4461958408355713             0.0009133815765380859             0.0008533000946044922
 3000                0.6108214855194092             0.0019719600677490234             0.0018901824951171875
 3100                0.8123414516448975             0.0021169185638427734             0.0021538734436035156
 3200                0.8226826190948486                 0.001007080078125             0.0009441375732421875
 3300                0.6186950206756592             0.0013608932495117188             0.0012500286102294922
 3400                0.9490504264831543             0.0023899078369140625             0.0016124248504638672
 3500                 0.933530330657959             0.0011775493621826172              0.001054525375366211
 3600                1.0454680919647217             0.0023505687713623047              0.002389669418334961
 3700                0.8096048831939697             0.0011470317840576172             0.0010902881622314453
 3800                0.7263836860656738             0.0011436939239501953             0.0011475086212158203
 3900                1.0471312999725342             0.0014653205871582031              0.002206087112426758
 4000                1.0067863464355469             0.0025396347045898438             0.0024645328521728516
 4100                1.2415273189544678             0.0028848648071289062             0.0028107166290283203
 4200                1.6505825519561768             0.0016481876373291016             0.0014886856079101562
 4300                1.6107933521270752              0.002106904983520508              0.002020597457885742
 4400                1.1458423137664795               0.00141143798828125               0.00130462646484375
 4500                1.1383771896362305             0.0018668174743652344              0.001630544662475586
 4600                 1.602813482284546             0.0014371871948242188             0.0014247894287109375
 4700                 1.376284122467041              0.001547098159790039             0.0014240741729736328
 4800                 1.739614725112915             0.0027017593383789062             0.0023920536041259766
 4900                1.5903680324554443               0.00151824951171875              0.001447916030883789
 5000                 1.228482961654663             0.0015692710876464844             0.0014808177947998047
 5100                1.3282215595245361             0.0016891956329345703             0.0015137195587158203
 5200                1.3893811702728271             0.0016071796417236328              0.001554250717163086
 5300                1.3902955055236816              0.001695394515991211             0.0016086101531982422
 5400                1.5224814414978027             0.0016956329345703125             0.0016634464263916016
 5500                1.5054080486297607             0.0017888545989990234             0.0016591548919677734
 5600                1.8565542697906494              0.001783609390258789             0.0016837120056152344
 5700                1.6743357181549072              0.003802776336669922             0.0035462379455566406
 5800                1.8006622791290283              0.002742767333984375              0.002255678176879883
 5900                1.9869613647460938                 0.001861572265625             0.0018529891967773438
 6000                1.8062763214111328             0.0019237995147705078             0.0018506050109863281
 6100                 1.899289608001709             0.0027687549591064453              0.004408597946166992
 6200                 2.599010467529297             0.0022215843200683594             0.0020999908447265625
 6300                2.2355198860168457             0.0027256011962890625              0.003209829330444336
 6400                2.3743443489074707              0.002032756805419922             0.0019221305847167969
 6500                  2.29776668548584             0.0021085739135742188             0.0019845962524414062
 6600                 2.543820858001709             0.0021507740020751953              0.002103090286254883
 6700                 2.450134038925171             0.0021882057189941406             0.0024254322052001953
 6800                2.3600070476531982              0.002204418182373047             0.0021042823791503906
 6900                2.6497490406036377              0.002924680709838867              0.004815578460693359
 7000                2.8404791355133057             0.0023894309997558594               0.00220489501953125
 7100                 2.620270252227783             0.0023527145385742188             0.0022835731506347656
 7200                3.1123108863830566              0.002382040023803711             0.0022034645080566406
 7300                 2.762648582458496             0.0026159286499023438             0.0025560855865478516
 7400                3.0465550422668457              0.002373933792114258             0.0022411346435546875
 7500                3.0035345554351807              0.002596139907836914              0.002401590347290039
 7600                 3.648308515548706               0.00257110595703125             0.0023064613342285156
 7700                 3.460803985595703             0.0033032894134521484             0.0030210018157958984
 7800                 3.785991668701172              0.002546548843383789             0.0025620460510253906
 7900                 3.242042064666748             0.0025959014892578125              0.002458333969116211
 8000                3.2032411098480225             0.0026917457580566406             0.0026106834411621094
 8100                3.2980785369873047              0.003070831298828125              0.003612518310546875
 8200                3.4970874786376953             0.0027654170989990234             0.0026695728302001953
 8300                3.4840712547302246              0.004647970199584961                   0.0032958984375
 8400                3.5957534313201904              0.002752065658569336              0.002682209014892578
 8500                3.6361403465270996             0.0029354095458984375             0.0027337074279785156
 8600                3.7367613315582275               0.00293731689453125                0.0028228759765625
 8700                 3.853592872619629              0.002927064895629883             0.0028977394104003906
 8800                3.9580345153808594             0.0031054019927978516              0.002855062484741211
 8900                 4.034826040267944              0.002961874008178711              0.003134489059448242
 9000                 4.149698257446289             0.0029926300048828125             0.0027649402618408203
 9100                 4.300533294677734             0.0029053688049316406                0.0028533935546875
 9200                 4.399888515472412              0.003026247024536133              0.002819538116455078
 9300                4.3617026805877686             0.0030884742736816406             0.0032243728637695312
 9400                4.4593963623046875             0.0031299591064453125             0.0028879642486572266
 9500                 4.619165420532227             0.0030236244201660156             0.0029015541076660156
 9600                  4.61882758140564              0.003074169158935547             0.0029354095458984375
 9700                 4.778523683547974              0.003081083297729492              0.002966165542602539
 9800                 4.886306524276733             0.0031900405883789062              0.002995014190673828
 9900                 4.982468366622925                0.0032501220703125             0.0030319690704345703
10000                 5.056363105773926              0.003262042999267578              0.003215312957763672
10100                 5.254369497299194              0.003202199935913086              0.003137826919555664
10200                 5.244697332382202             0.0032622814178466797              0.003232717514038086
10300                5.3924455642700195             0.0034852027893066406             0.0033397674560546875
10400                 5.512965202331543             0.0033910274505615234             0.0032362937927246094
10500                 5.702945947647095             0.0033791065216064453              0.003240346908569336
10600                 5.826478004455566             0.0035004615783691406             0.0032825469970703125
10700                 5.848588705062866              0.003650665283203125              0.003335237503051758
10800                 6.012401819229126             0.0035958290100097656             0.0033185482025146484
10900                 6.089869737625122             0.0037620067596435547             0.0034613609313964844
11000                 6.288195848464966              0.003548145294189453             0.0034873485565185547
11100                 6.292421817779541               0.00363922119140625             0.0034673213958740234
11200                 6.368738889694214             0.0036897659301757812              0.003437042236328125
11300                6.4939961433410645              0.003759622573852539             0.0034689903259277344
11400                 6.824143648147583             0.0037186145782470703             0.0036666393280029297
11500                 6.800311326980591              0.003750324249267578              0.003896951675415039
11600                 6.922078371047974             0.0038254261016845703              0.003679513931274414
11700                 7.124329566955566              0.003991603851318359             0.0038766860961914062
11800                 7.058082818984985             0.0039899349212646484              0.003914356231689453
11900                 7.341184854507446              0.004191160202026367              0.004082202911376953
12000                 7.299173593521118             0.0039048194885253906             0.0038666725158691406
12100                7.5763328075408936              0.003934383392333984              0.003988027572631836
12200                7.7784388065338135              0.003954887390136719              0.003891468048095703
12300                 7.690639972686768              0.004143714904785156              0.004089832305908203
12400                 7.980395078659058              0.004266977310180664              0.003972768783569336
